elapsed_seconds,journal_allocated,journal_files,first_probe_present,processes,sockets,MemAvailable,Shmem,AnonPages,Cached,Slab,SReclaimable,SUnreclaim,/var/log,/var/log/journal,/run/log/journal,/var/log/nginx
1.7850828930095304,4194304,1,True,114,114,492711936,354394112,123228160,354394112,30412800,8826880,21585920,4096,0,4194304,0
62.04143043901422,6299648,2,True,114,114,486141952,356507648,127033344,356507648,30859264,8933376,21925888,4096,0,6299648,0
122.22457928201766,6299648,2,True,114,109,481173504,356507648,127135744,356507648,30928896,8933376,21995520,4096,0,6299648,0
181.99498524100636,8773632,3,True,107,109,481677312,358981632,127164416,358981632,30986240,8933376,22052864,4096,0,8773632,0
242.23435294200317,11251712,4,True,108,109,479817728,361459712,127275008,361459712,31072256,8933376,22138880,4096,0,11251712,0
302.06822975401883,13729792,5,True,107,109,479608832,363937792,127315968,363937792,31088640,8933376,22155264,4096,0,13729792,0
362.0953517210146,14102528,5,False,107,109,480358400,364310528,127418368,364310528,31117312,8949760,22167552,4096,0,14102528,0
422.4166225150111,14102528,5,False,107,111,472469504,364306432,127451136,364306432,31133696,8949760,22183936,4096,0,14102528,0
482.2990141190239,14102528,5,False,105,109,469639168,364310528,127578112,364310528,31154176,8966144,22188032,4096,0,14102528,0
542.166446037998,14102528,5,False,105,109,480456704,364310528,127328256,364310528,31191040,8982528,22208512,4096,0,14102528,0
602.0761556969956,14102528,5,False,105,109,477802496,364310528,127541248,364310528,31195136,8982528,22212608,4096,0,14102528,0
662.6729009910196,14102528,5,False,105,109,452509696,364310528,127844352,364310528,31277056,8982528,22294528,4096,0,14102528,0
722.2266800000216,14102528,5,False,105,109,475987968,364310528,127692800,364310528,31277056,8982528,22294528,4096,0,14102528,0
782.1282919369987,14102528,5,False,105,109,481689600,364310528,127557632,364310528,31277056,8982528,22294528,4096,0,14102528,0
841.9885392000142,14098432,5,False,104,109,478109696,364306432,127852544,364306432,31277056,8982528,22294528,4096,0,14098432,0
902.3525509480096,14098432,5,False,105,109,468946944,364310528,127860736,364310528,31277056,8982528,22294528,4096,0,14098432,0
962.1693549340125,14098432,5,False,105,109,476704768,364306432,127795200,364306432,31289344,8982528,22306816,4096,0,14098432,0
1022.188647670002,14110720,5,False,105,109,471064576,364318720,128237568,364318720,31301632,8982528,22319104,4096,0,14110720,0
1081.9594999910041,14094336,5,False,105,109,475840512,364302336,127938560,364302336,31313920,8982528,22331392,4096,0,14094336,0
1142.226835931011,14098432,5,False,105,109,477577216,364306432,128065536,364306432,31350784,9015296,22335488,4096,0,14098432,0
1202.1099300890055,14098432,5,False,104,109,472711168,364306432,128331776,364306432,31358976,9015296,22343680,4096,0,14098432,0
1261.980296896014,14094336,5,False,104,109,473931776,364302336,128045056,364302336,31358976,9015296,22343680,4096,0,14094336,0
1321.9051929670095,14077952,5,False,105,109,470118400,364285952,128266240,364285952,31375360,9019392,22355968,4096,0,14077952,0
1382.1657640910125,14098432,5,False,105,109,474681344,364306432,128122880,364306432,31371264,9019392,22351872,4096,0,14098432,0
1442.002925680019,14098432,5,False,105,109,477302784,364306432,128622592,364306432,31371264,9019392,22351872,4096,0,14098432,0
1502.3619774600083,14098432,5,False,105,109,479113216,364306432,128512000,364306432,31371264,9019392,22351872,4096,0,14098432,0
1562.1776045419974,14102528,5,False,105,109,478126080,364310528,128299008,364310528,31395840,9035776,22360064,4096,0,14102528,0
1622.9821132240177,14106624,5,False,104,109,482607104,364314624,128724992,364314624,31416320,9035776,22380544,4096,0,14106624,0
1682.040234977001,14106624,5,False,105,109,474497024,364314624,128811008,364314624,31404032,9035776,22368256,4096,0,14106624,0
1742.4716708960186,14106624,5,False,105,109,479510528,364314624,128913408,364314624,31399936,9035776,22364160,4096,0,14106624,0
1802.3981656380056,14102528,5,False,105,109,474451968,364310528,128626688,364310528,31404032,9035776,22368256,4096,0,14102528,0
1862.2579651650158,14102528,5,False,105,109,473575424,364310528,128921600,364310528,31408128,9035776,22372352,4096,0,14102528,0
1922.1351809980115,14098432,5,False,105,109,478617600,364306432,128671744,364306432,31408128,9035776,22372352,4096,0,14098432,0
1982.0997023920063,14098432,5,False,104,109,479354880,364306432,128950272,364306432,31436800,9035776,22401024,4096,0,14098432,0
2042.016716337006,14094336,5,False,104,109,468291584,364302336,129196032,364302336,31436800,9035776,22401024,4096,0,14094336,0
2102.390679781005,14098432,5,False,105,109,473202688,364306432,128503808,364306432,31469568,9035776,22433792,4096,0,14098432,0
2162.304931015009,14098432,5,False,105,109,471584768,364310528,129019904,364310528,31469568,9035776,22433792,4096,0,14098432,0
2222.176733183005,14102528,5,False,105,109,471420928,364310528,129196032,364310528,31481856,9035776,22446080,4096,0,14102528,0
2282.410494355019,14102528,5,False,105,109,470917120,364310528,129449984,364310528,31490048,9035776,22454272,4096,0,14102528,0
2342.2420813020144,14098432,5,False,105,109,470900736,364306432,129228800,364306432,31490048,9035776,22454272,4096,0,14098432,0
2402.207523803023,14098432,5,False,104,109,471932928,364306432,129224704,364306432,31490048,9035776,22454272,4096,0,14098432,0
2462.011078036012,14098432,5,False,105,109,471879680,364306432,129376256,364306432,31490048,9035776,22454272,4096,0,14098432,0
2522.3706076620147,14098432,5,False,105,109,475721728,364306432,129290240,364306432,31490048,9035776,22454272,4096,0,14098432,0
2583.064927925996,14094336,5,False,105,109,472162304,364302336,129437696,364302336,31494144,9035776,22458368,4096,0,14094336,0
2642.1016549550113,14106624,5,False,105,109,466337792,364314624,129835008,364314624,31526912,9035776,22491136,4096,0,14106624,0
2702.1969020150136,14106624,5,False,105,109,471007232,364314624,129789952,364314624,31522816,9035776,22487040,4096,0,14106624,0
2762.0673613249965,14106624,5,False,104,109,471834624,364314624,129744896,364314624,31539200,9035776,22503424,4096,0,14106624,0
2821.9527511660126,14106624,5,False,105,109,472547328,364314624,129695744,364314624,31555584,9035776,22519808,4096,0,14106624,0
2882.38022922902,14106624,5,False,105,109,473874432,364314624,129777664,364314624,31555584,9035776,22519808,4096,0,14106624,0
2942.4340712650155,14098432,5,False,105,109,479227904,364306432,130068480,364306432,31580160,9035776,22544384,4096,0,14098432,0
3002.3046523340163,14098432,5,False,105,109,478281728,364306432,129851392,364306432,31571968,9035776,22536192,4096,0,14098432,0
3062.1908576730057,14098432,5,False,105,109,474058752,364306432,129843200,364306432,31567872,9035776,22532096,4096,0,14098432,0
3122.088665218005,14094336,5,False,104,109,476532736,364302336,130039808,364302336,31567872,9035776,22532096,4096,0,14094336,0
3181.984403345996,14098432,5,False,104,109,468594688,364306432,130117632,364306432,31567872,9035776,22532096,4096,0,14098432,0
3241.968794245011,14106624,5,False,105,109,474464256,364314624,130359296,364314624,31571968,9035776,22536192,4096,0,14106624,0
3302.2668991100218,14098432,5,False,105,109,470339584,364314624,130375680,364314624,31571968,9035776,22536192,4096,0,14098432,0
3362.165269026009,14098432,5,False,105,109,473227264,364306432,130441216,364306432,31567872,9035776,22532096,4096,0,14098432,0
3422.431901283009,14102528,5,False,105,109,472326144,364310528,130179072,364310528,31584256,9052160,22532096,4096,0,14102528,0
3482.2296145230066,14102528,5,False,105,109,464601088,364310528,130461696,364310528,31584256,9052160,22532096,4096,0,14102528,0
3543.483202544012,14114816,5,False,104,109,474505216,364322816,130387968,364322816,31588352,9052160,22536192,4096,0,14114816,0
